agency id,agency name,url,developer url
USDA,Department of Agriculture,http://www.usda.gov,http://www.usda.gov/developers,
ED,Department of Education,http://www.ed.gov,http://www.ed.gov/developers,
DOE,Department of Energy,http://www.energy.gov,http://www.energy.gov/developers,
DOL,Department of Labor,http://www.dol.gov,http://developer.dol.gov/,
CENSUS,Bureau of the Census,http://www.census.gov/,http://www.census.gov/developers/,
,Centers for Medicare &amp; Medicaid Services,http://www.cms.gov/,http://data.cms.gov/,
CFPB,Consumer Financial Protection Bureau,http://www.consumerfinance.gov,http://www.consumerfinance.gov/developers/,
CPSC,Consumer Product Safety Commission,http://www.cpsc.gov,http://www.cpsc.gov/cpscpub/prerel/api.html,
EIA,Energy Information Administration,http://www.eia.gov,http://www.eia.gov/developer/,
EPA,Environmental Protection Agency,http://www.epa.gov,http://www.epa.gov/developer/,
FAA,Federal Aviation Administration,http://www.faa.gov/,http://services.faa.gov/,
FCC,Federal Communications Commission,http://www.fcc.gov,http://www.fcc.gov/developers,
FMCSA,Federal Motor Carrier Safety Administration,http://www.fmcsa.dot.gov/,https://mobile.fmcsa.dot.gov/developer,
FR,Office of the Federal Register,http://www.federalregister.gov/,http://www.federalregister.gov/blog/learn/developers,
,Federal Reserve Bank of St. Louis,http://www.stlouisfed.org,http://api.stlouisfed.org/,
GSA,General Services Administration,http://www.gsa.gov,http://www.gsa.gov/developers,
MCC,Millenium Challenge Corporation,http://www.mcc.gov,http://data.mcc.gov/developer/,
NASA,National Aeronautics and Space Administration,http://www.nasa.gov,http://data.nasa.gov/api-info/,
NARA,National Archives and Records Administration,http://www.archives.gov,http://www.archives.gov/developers/,
,National Climate Data Center,http://www.ncdc.noaa.gov/,http://www.ncdc.noaa.gov/cdo-web/,
,National Institute on Drug Abuse,http://www.drugabuse.gov,http://www.drugabuse.gov/developer,
NLM,National Library of Medicine,http://www.nlm.nih.gov,http://www.nlm.nih.gov/api/,
NREL,National Renewable Energy Laboratory,http://www.nrel.gov,http://developer.nrel.gov/,
NWS,National Wether Service,http://www.weather.gov,http://graphical.weather.gov/xml/,
SBA,Small Business Administration,http://www.sba.gov,http://www.sba.gov/api/,
SSA,Social Security Administration,http://www.ssa.gov,http://www.ssa.gov/edds,
SAMHSA,Substance Abuse and Mental Health Services Administration,http://www.samhsa.gov/,http://store.samhsa.gov/developer,
USGS,United States Geological Survey,http://www.usgs.gov/,http://data.usgs.gov/,
EOP,Executive Office of the President,http://www.whitehouse.gov,http://www.whitehouse.gov/developers,
,BusinessUSA,http://business.usa.gov/,http://business.usa.gov/apis,
,Commerce - Automated Export System,http://www.aesdirect.gov/,http://www.aesdirect.gov/developers,
,DATA.gov,http://www.data.gov/,http://www.data.gov/developers,
,DEA - E-Commerce Program,http://www.deaecom.gov,http://www.deaecom.gov/developer.html,
,EnergyStar.gov,http://www.energystar.gov,https://data.energystar.gov/developers,
,FOIA.gov,http://www.foia.gov/,http://www.foia.gov/developer.html,
,Healthdata.gov,http://www.healthdata.gov/,http://www.healthdata.gov/developer,
,Healthfinder.gov,http://www.healthfinder.gov/,http://healthfinder.gov/developers/,
,HHS - Health Indicator Warehouse,http://www.healthindicators.gov/,http://healthindicators.gov/Developers/,
,HHS - Medicare,http://www.medicare.gov/,http://data.medicare.gov/,
,Integrated Taxonomic Information System,http://www.itis.gov/,http://www.itis.gov/ws_description.html,
,ITDashboard.gov,http://www.itdashboard.gov/,http://www.itdashboard.gov/data_feeds,
,National Broadband Map,http://www.broadbandmap.gov/,http://www.broadbandmap.gov/developer/,
,National Information Exchange Model,http://www.niem.gov/,https://www.niem.gov/developers,
,National Resource Directory,http://www.nrd.gov/,https://www.nrd.gov/home/api,
,Performance.gov Permits,http://www.performance.gov/,http://permits.performance.gov/developers-api,
,Small Business Innovation Research,http://www.sbir.gov/,http://www.sbir.gov/apis,
,USA.gov,http://www.usa.gov/,http://www.usa.gov/developer,
,USASpending.gov,http://www.usaspending.gov/,http://www.usaspending.gov/data?tab=API,
,U.S. Courts - PACER,http://www.pacer.gov/,http://www.pacer.gov/cmecf/developer/,
